year,month,product,country,volume_kg,value_usd
2023,01,CLAM NSPF BOILED CANNED WHETHER OR NOT MINCED/CHOP NOT > 0.68KG,VIETNAM,29030,79914
2023,01,CLAM NSPF DRIED/SALTED/BRINE,CANADA,22115,86250
2023,01,CLAM NSPF DRIED/SALTED/BRINE,CHINA,15872,66072
2023,01,CLAM NSPF DRIED/SALTED/BRINE,VIETNAM,19958,35120
2023,01,CLAM NSPF FROZEN,CANADA,257543,1191950
2023,01,CLAM NSPF FROZEN,CHINA,34909,104571
2023,01,CLAM NSPF FROZEN,ECUADOR,258,4253
2023,01,CLAM NSPF FROZEN,MEXICO,656,2562
2023,01,CLAM NSPF FROZEN,VIETNAM,22559,72151
2023,01,CLAM NSPF LIVE/FRESH,CANADA,41596,336859
2023,01,CLAM NSPF LIVE/FRESH,MEXICO,32525,147620
2023,01,CLAM NSPF LIVE/FRESH,NEW ZEALAND,24112,119464
2023,01,CLAM NSPF PREPARED/PRESERVED,CHINA,481604,884199
2023,01,CLAM NSPF PREPARED/PRESERVED,JAPAN,1528,14688
2023,01,CLAM NSPF PREPARED/PRESERVED,SPAIN,1667,12188
2023,01,CLAM NSPF PREPARED/PRESERVED,THAILAND,25320,167124
2023,01,CLAM NSPF PREPARED/PRESERVED,VIETNAM,26969,112338
2023,01,CLAM RAZOR CANNED,CHINA,19212,44416
2023,01,CLAM RAZOR CANNED,INDONESIA,65123,52690
2023,01,CLAM RAZOR CANNED,SPAIN,16038,15416
2023,01,"CLAM,COCKLES,ARK SHELLS NSPF PRODUCTS PREPARED DINNERS",CANADA,720,4438
2023,01,"CLAM,COCKLES,ARK SHELLS NSPF PRODUCTS PREPARED DINNERS",PHILIPPINES,15901,36053
2023,01,"CLAM,COCKLES,ARK SHELLS NSPF PRODUCTS PREPARED DINNERS",VIETNAM,2658,13064
2023,01,COBIA FRESH,BRAZIL,230,2449
2023,01,COBIA FRESH,MEXICO,1588,18061
2023,01,"COCKLES,ARK SHELLS NSPF DRIED/SALTED/BRINE",CHINA,18200,81371
2023,01,"COCKLES,ARK SHELLS NSPF DRIED/SALTED/BRINE",CHINA - HONG KONG,10942,39200
2023,01,"COCKLES,ARK SHELLS NSPF DRIED/SALTED/BRINE",VIETNAM,3588,13939
2023,01,"COCKLES,ARK SHELLS NSPF FROZEN",CHINA,61337,47194
2023,01,"COCKLES,ARK SHELLS NSPF FROZEN",IRELAND,980,12242
2023,01,"COCKLES,ARK SHELLS NSPF FROZEN",NETHERLANDS,1920,8170
2023,01,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",CHILE,1100,11000
2023,01,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,17134,97961
2023,01,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",CHINA,19898,36488
